Period,Period Label,Commodity,Commodity Label,Prices,Prices Footnote,Prices Missing value
1995M01,"Jan. 1995",IN0001.20,"All groups",,,"Not applicable"
1995M01,"Jan. 1995",IN0001.01,"All food",,,"Not applicable"
1995M01,"Jan. 1995",IN0001.02,"Food",,,"Not applicable"
1995M01,"Jan. 1995",080300.01,"Bananas, Central and South America, FOT, US import price ($/kg)",0.35,,
1995M01,"Jan. 1995",020100.01,"Beef, Australia/New Zealand, frozen, CIF US ports ($/kg)",2.12,,
1995M01,"Jan. 1995",100500.01,"Maize, Argentina, Rosario, Up River, FOB ($/t)",104.65,,
1995M01,"Jan. 1995",100500.02,"Maize, United States, n° 3 yellow, FOB Gulf ($/t)",109.1,,
1995M01,"Jan. 1995",100600.01,"Rice, Thailand, white milled, 5% broken, export price, FOB ($/t)",276.8,,
1995M01,"Jan. 1995",030212.01,"Salmon, fresh, fish-farm bred, export price, Norway ($/kg)",4.81,,
1995M01,"Jan. 1995",030613.01,"Shrimps, brown, no. 1, shell-on, headless, Mexico ($/kg)",13.44,,
1995M01,"Jan. 1995",120810.01,"Soybean meal, in bulk, 45/46% protein, Hamburg FOB ex-mill ($/t)",183,,
1995M01,"Jan. 1995",170100.01,"Sugar, average of I.S.A. daily prices, FOB & Stowed, in bulk, Caribbean ports (¢/lb.)",14.76,,
1995M01,"Jan. 1995",100100.02,"Wheat, Argentina, Trigo Pan, Up River, FOB ($/t)",131.8,,
1995M01,"Jan. 1995",100100.01,"Wheat, United States, n° 2 Hard Red Winter (ordinary), FOB Gulf ($/t)",159.8,,
1995M01,"Jan. 1995",IN0001.03,"Tropical beverages",,,"Not applicable"
1995M01,"Jan. 1995",180100.01,"Cocoa beans, average daily prices New York/London (¢/lb.)",66.63,,
1995M01,"Jan. 1995",090100.02,"Coffee, Brazilian and other natural Arabicas, ex-dock USA (¢/lb.)",162.81,,
1995M01,"Jan. 1995",090100.01,"Coffee, Colombian mild Arabicas, ex-dock US (¢/lb.)",177.23,,
1995M01,"Jan. 1995",090100.04,"Coffee, other mild Arabicas, ex-dock EU (¢/lb.)",172.62,,
1995M01,"Jan. 1995",090100.03,"Coffee, other mild Arabicas, ex-dock US (¢/lb.)",171.74,,
1995M01,"Jan. 1995",090100.06,"Coffee, Robustas, ex-dock EU (¢/lb.)",131.54,,
1995M01,"Jan. 1995",090100.05,"Coffee, Robustas, ex-dock US (¢/lb.)",132.26,,
1995M01,"Jan. 1995",090200.01,"Tea, Kenya Mombasa/Nairobi, auction price ($/kg)",1.38,,
1995M01,"Jan. 1995",IN0001.04,"Vegetable oilseeds and oils",,,"Not applicable"
1995M01,"Jan. 1995",151311.01,"Coconut oil, in bulk, Philippines/Indonesia, CIF Rotterdam ($/t)",622,,
1995M01,"Jan. 1995",150810.01,"Groundnut oil, in bulk, any origin, CIF Rotterdam ($/t)",1054,,
1995M01,"Jan. 1995",151321.01,"Palm kernel oil, in bulk, Malaysia/Indonesia, CIF Rotterdam ($/t)",,,"Not publishable"
1995M01,"Jan. 1995",151110.01,"Palm oil, in bulk, Malaysia/Indonesia, 5% FFA, CIF ($/t)",655,,
1995M01,"Jan. 1995",150710.01,"Soybean oil, in bulk, Netherlands, FOB ex-mill ($/t)",674,,
1995M01,"Jan. 1995",120100.01,"Soybeans, in bulk, United States, n° 2 yellow, CIF Rotterdam ($/t)",243,,
1995M01,"Jan. 1995",151211.01,"Sunflower oil, in bulk, European Union, FOB N.W. European ports ($/t)",,,"Not publishable"
1995M01,"Jan. 1995",IN0001.06,"Agricultural raw materials",,,"Not applicable"
1995M01,"Jan. 1995",410100.01,"Cattle hides, US Chicago packer's heavy native steers, FOB shipping point (¢/lb.)",90.12,,
1995M01,"Jan. 1995",510100.02,"Coarse wool, 23 micron, AWEX auction price, Australia ($/t)",4470.57,,
1995M01,"Jan. 1995",510100.01,"Fine wool, 19 micron, Australia ($/t)",9041.81,,
1995M01,"Jan. 1995",230120.01,"Fish meal, in bulk, 64/65% protein, FCA, Bremen ($/t)",435,,
1995M01,"Jan. 1995",530300.01,"Jute, Bangladesh, BWD, FOB Mongla ($/t)",250,,
1995M01,"Jan. 1995",441200.01,"Plywood, Africa & SE Asia, Lauan, 3-ply, 91cmx182cmx4mm, wholesale Tokyo (¢/sheet)",551.01,,
1995M01,"Jan. 1995",400100.02,"Rubber, RSS n°3, Singapore Commodity Exchange, 1st contract (¢/kg)",164.42,,
1995M01,"Jan. 1995",400100.01,"Rubber, TSR 20, New York CIF ($/t)",1984.1,,
1995M01,"Jan. 1995",440700.01,"Sawnwood, Dark Red Meranti, Malaysia, CFR plus commission, UK ($/m3)",793.78,,
1995M01,"Jan. 1995",530500.01,"Sisal, Tanzania/Kenya, n° 2 & 3 long, FOB ($/t)",800,,
1995M01,"Jan. 1995",530500.02,"Sisal, Tanzania/Kenya, n° 3 & UG, FOB ($/t)",661,,
