date,value,production,price
2022-01-31,5.958620689655173,743986786.9886363,216.1
2022-02-28,7.337037037037037,916094311.6711016,218.0
2022-03-31,13.46551724137931,1681290027.272726,217.3
2022-04-30,17.876785714285713,2232075642.282479,221.2
2022-05-31,23.41875,2924039254.9260297,221.8
2022-06-30,27.36379310344828,3416612926.0556364,220.4
2022-07-31,30.933333333333334,3862301833.440513,219.9
2022-08-31,28.146774193548385,3514374661.0127087,217.1
2022-09-30,25.053846153846152,3128196083.7069016,215.1
2022-10-31,17.94333333333333,2240385057.9223866,215.0
2022-11-30,12.435185185185183,1552642682.3806505,211.8
2022-12-31,10.201724137931036,1273775773.6531105,203.5
2023-01-31,10.926666666666668,1364291888.113535,216.1
