date,value,production,price
2022-01-31,11.34516129032258,15058.522727272728,132.7
2022-02-28,14.155357142857143,18788.518011656743,139.5
2022-03-31,18.075806451612905,23992.16153035904,140.6
2022-04-30,22.298333333333336,29596.755011911846,141.2
2022-05-31,26.991666666666667,35826.25363763453,143.5
2022-06-30,29.898333333333333,39684.29540015596,126.2
2022-07-31,29.11774193548387,38648.21023535038,124.4
2022-08-31,28.556451612903224,37903.20513027632,124.3
2022-09-30,27.58,36607.15314575956,126.5
2022-10-31,21.77258064516129,28898.919291364033,126.4
2022-11-30,17.491666666666667,23216.828152329384,125.3
2022-12-31,14.870967741935484,19738.353645927575,125.2
2023-01-31,16.072131147540983,21332.667378417882,132.7
