date,value,production,price
2022-01-31,-1.5612903225806452,1220064580.3505669,150.4
2022-02-28,2.867857142857143,2241076416.6666665,154.8
2022-03-31,7.916129032258064,6186029917.727875,149.4
2022-04-30,11.706666666666669,9148131611.014254,147.6
2022-05-31,19.81290322580645,15482720356.432194,150.9
2022-06-30,23.58,18426504275.716064,154.1
2022-07-31,26.016129032258064,20330208348.19695,147.2
2022-08-31,25.89516129032258,20235678551.165653,140.5
2022-09-30,20.265,15836009717.870485,132.0
2022-10-31,13.146774193548389,10273498341.361025,139.4
2022-11-30,9.143333333333334,7145024205.299572,154.0
2022-12-31,2.0129032258064514,1572975822.600731,161.6
2023-01-31,5.174193548387097,4043354518.3518796,150.4
