date,value,production,price
2022-01-31,-4.869354838709677,71714385.41666667,277.6
2022-02-28,-3.566071428571429,106169061.2361111,305.9
2022-03-31,3.2225806451612904,6105109.35,329.2
2022-04-30,8.639999999999999,13306841.55,322.6
2022-05-31,16.488709677419354,2240966.05,330.7
2022-06-30,22.926666666666662,16000870.55,339.6
2022-07-31,24.92419354838709,40924111.81666667,315.6
2022-08-31,23.537096774193547,14549608.916666668,319.0
2022-09-30,20.043333333333333,23093729.166666664,309.2
2022-10-31,11.45,14789416.883333337,288.9
2022-11-30,1.3649999999999998,76749952.2,306.7
2022-12-31,-6.432258064516129,16211629.366666663,296.6
2023-01-31,-5.837096774193548,71714385.41666667,277.6
