commodity,month,production
BARLEY,Jan,2697136.1805555555
BARLEY,Feb,4253365.569444444
BARLEY,Mar,575776.0666666667
BARLEY,Apr,496621.1833333334
BARLEY,May,53306.1
BARLEY,Jun,922487.4833333332
BARLEY,Jul,2260611.1333333333
BARLEY,Aug,640324.9833333334
BARLEY,Sep,859748.1
BARLEY,Oct,548289.4333333333
BARLEY,Nov,2098920.35
BARLEY,Dec,911770.8
BEANS,Jan,132417.16666666666
BEANS,Feb,3643.4583333333335
BEANS,Mar,90587.26666666668
BEANS,Apr,336864.1
BEANS,May,57072.566666666666
BEANS,Jun,73291.38333333333
BEANS,Jul,192166.3125
BEANS,Aug,564265.3333333333
BEANS,Sep,176994.9375
BEANS,Oct,885482.0666666668
BEANS,Nov,367965.4166666666
BEANS,Dec,48311.64583333333
BUCKWHEAT,Jan,77378.58333333333
CANOLA,Jan,129482807.83333333
CANOLA,Feb,40293.5
CANOLA,Mar,23956360.5
CANOLA,Apr,28861.666666666668
CANOLA,May,430205.25
CANOLA,Jun,58196861.916666664
CANOLA,Jul,1812698.4166666667
CANOLA,Aug,94807603.08333333
CANOLA,Sep,308755692.1666667
CORN,Jan,132788391.33333334
CORN,Feb,216234377.4916667
CORN,Mar,10002341.325
CORN,Apr,23056726.225
CORN,May,4105422.1916666664
CORN,Jun,24892385.433333334
CORN,Jul,67840270.94166666
CORN,Aug,25992395.5
CORN,Sep,39462907.84166666
CORN,Oct,25901141.816666666
CORN,Nov,127027354.40833333
CORN,Dec,29481888.916666668
COTTON,Jan,245021.76041666666
COTTON,Feb,361407.21875
COTTON,Mar,361265.1979166667
COTTON,Apr,69235.72619047618
COTTON,May,102604.0238095238
COTTON,Jun,76174.40476190476
COTTON,Jul,135346.82142857142
COTTON,Aug,54760.625
COTTON,Sep,47449.02380952381
COTTON,Oct,61091.916666666664
COTTON,Nov,90571.70833333333
COTTON,Dec,57588.569444444445
FLAXSEED,Jan,80854.0
FLAXSEED,Feb,150.33333333333334
FLAXSEED,Mar,64715.583333333336
FLAXSEED,Apr,77.25
FLAXSEED,May,2677.0
FLAXSEED,Jun,87761.83333333333
FLAXSEED,Jul,10637.833333333334
FLAXSEED,Aug,118355.16666666667
FLAXSEED,Sep,365229.0
HAY,Jan,382704.86111111107
HAY,Feb,643188.8194444444
HAY,Mar,652862.0694444445
HAY,Apr,836583.9166666666
HAY,May,1187589.826388889
HAY,Jun,492090.8181818182
HAY,Jul,467925.5833333334
HAY,Aug,589990.7348484849
HAY,Sep,529557.303030303
HAY,Oct,208366.57575757572
HAY,Nov,419769.9621212121
HAY,Dec,273527.38636363635
HERBS,Jan,990245.0
HOPS,Jan,8672866.25
LENTILS,Jan,534823.0833333334
MAPLE SYRUP,Jan,979.2916666666667
MAPLE SYRUP,Feb,11079.333333333334
MAPLE SYRUP,Mar,147451.91666666666
MAPLE SYRUP,Apr,28060.916666666668
MAPLE SYRUP,May,4840.75
MAPLE SYRUP,Jun,16227.041666666668
MAPLE SYRUP,Jul,11840.583333333332
MAPLE SYRUP,Aug,103163.95833333334
MAPLE SYRUP,Sep,20432.25
MAPLE SYRUP,Oct,40296.0
MAPLE SYRUP,Nov,7029.125
MAPLE SYRUP,Dec,243949.25
MILLET,Jan,393529.4166666667
MILLET,Feb,522.4166666666666
MILLET,Mar,94647.66666666667
MILLET,Apr,1016.3333333333334
MILLET,May,5894.5
MILLET,Jun,138171.58333333334
MILLET,Jul,25902.833333333332
MILLET,Aug,229098.83333333334
MILLET,Sep,888783.5833333334
MINT,Jan,69160.58333333333
MINT,Feb,992.6666666666666
MINT,Mar,69526.79166666666
MINT,Apr,161588.7916666667
MINT,May,5058.125
MINT,Jun,97925.625
MINT,Jul,17375.958333333332
MINT,Aug,50357.958333333336
MINT,Sep,233365.75
MINT,Oct,7856.291666666667
MINT,Nov,217871.2916666667
MINT,Dec,69241.04166666667
OATS,Jan,114828.51666666665
OATS,Feb,286462.36666666664
OATS,Mar,972494.6166666668
OATS,Apr,137984.73333333334
OATS,May,506277.7
OATS,Jun,365852.31666666665
OATS,Jul,1014294.1833333332
OATS,Aug,210357.1
OATS,Sep,653556.8166666667
OATS,Oct,1518417.3
OATS,Nov,270513.1458333334
OATS,Dec,165647.29166666666
PEANUTS,Jan,49089255.46666666
PEANUTS,Feb,62752984.28333334
PEANUTS,Mar,77159534.11666667
PEANUTS,Apr,1443729.6
PEANUTS,May,21267221.266666662
PEANUTS,Jun,40958393.28333333
PEANUTS,Jul,22839909.18333333
PEANUTS,Aug,31765490.4
PEANUTS,Sep,187264256.46666667
PEANUTS,Oct,89855840.4375
PEANUTS,Nov,106734516.66666667
PEANUTS,Dec,4091202.5
PEAS,Jan,16797.75
PEAS,Feb,454845.4166666667
PEAS,Mar,759.1666666666666
PEAS,Apr,167294.91666666666
PEAS,May,1735.3333333333333
PEAS,Jun,5267.166666666667
PEAS,Jul,336698.9166666667
PEAS,Aug,26171.416666666668
PEAS,Sep,414092.4166666667
PEAS,Oct,1406864.75
PEAS,Nov,30968.75
RICE,Jan,2104400.416666667
RICE,Feb,3454479.9
RICE,Mar,48836.041666666664
RICE,Apr,228569.58333333334
RICE,May,136521.58333333334
RICE,Jun,341346.125
RICE,Jul,2084089.2
RICE,Aug,4410469.166666666
RICE,Sep,3904710.645833333
RICE,Oct,472740.1875
RICE,Nov,410576.75000000006
RICE,Dec,5243983.083333333
RYE,Jan,129044.5
RYE,Feb,30427.25
RYE,Mar,399429.0833333333
RYE,Apr,38790.583333333336
RYE,May,110298.0
RYE,Jun,252366.66666666666
RYE,Jul,212269.0
RYE,Aug,164022.0
RYE,Sep,1336647.0833333333
SAFFLOWER,Jan,8071812.916666667
SAFFLOWER,Feb,7830.333333333333
SAFFLOWER,Mar,1346193.5833333333
SAFFLOWER,Apr,15633.25
SAFFLOWER,May,62190.333333333336
SAFFLOWER,Jun,2615463.8333333335
SAFFLOWER,Jul,217908.16666666666
SAFFLOWER,Aug,3065365.9166666665
SAFFLOWER,Sep,15402398.333333334
SORGHUM,Jan,3249946.5
SORGHUM,Feb,5347149.777777777
SORGHUM,Mar,579768.4027777779
SORGHUM,Apr,623574.7916666666
SORGHUM,May,308633.02777777775
SORGHUM,Jun,761641.4444444445
SORGHUM,Jul,2815057.5555555555
SORGHUM,Aug,635113.5416666666
SORGHUM,Sep,983599.6111111111
SORGHUM,Oct,773627.638888889
SORGHUM,Nov,2789938.4444444445
SORGHUM,Dec,681915.7222222222
SOYBEANS,Jan,71714385.41666667
