commodity,month,production
FRUIT & TREE NUT TOTALS,Apr,2241076416.6666665
FRUIT & TREE NUT TOTALS,Aug,2241076416.6666665
FRUIT & TREE NUT TOTALS,Dec,2241076416.6666665
FRUIT & TREE NUT TOTALS,Feb,2241076416.6666665
FRUIT & TREE NUT TOTALS,Jan,2241076416.6666665
FRUIT & TREE NUT TOTALS,Jul,2241076416.6666665
FRUIT & TREE NUT TOTALS,Jun,2241076416.6666665
FRUIT & TREE NUT TOTALS,Mar,2241076416.6666665
FRUIT & TREE NUT TOTALS,May,2241076416.6666665
FRUIT & TREE NUT TOTALS,Nov,2241076416.6666665
FRUIT & TREE NUT TOTALS,Oct,2241076416.6666665
FRUIT & TREE NUT TOTALS,Sep,2241076416.6666665
