commodity,month,production
CORN,Jan,132788391.33333334
CORN,Feb,216234377.4916667
CORN,Mar,10002341.325
CORN,Apr,23056726.225
CORN,May,4105422.1916666664
CORN,Jun,24892385.433333334
CORN,Jul,67840270.94166666
CORN,Aug,25992395.5
CORN,Sep,39462907.84166666
CORN,Oct,25901141.816666666
CORN,Nov,127027354.40833333
CORN,Dec,29481888.916666668
SOYBEANS,Jan,71714385.41666667
SOYBEANS,Feb,106169061.2361111
SOYBEANS,Mar,6105109.35
SOYBEANS,Apr,13306841.55
SOYBEANS,May,2240966.05
SOYBEANS,Jun,16000870.55
SOYBEANS,Jul,40924111.81666667
SOYBEANS,Aug,14549608.916666668
SOYBEANS,Sep,23093729.166666664
SOYBEANS,Oct,14789416.883333335
SOYBEANS,Nov,76749952.2
SOYBEANS,Dec,16211629.366666665
WHEAT,Jan,20971632.324074075
WHEAT,Feb,30922928.148148146
WHEAT,Mar,9703767.175925927
WHEAT,Apr,7074746.481481481
WHEAT,May,15964258.759259257
WHEAT,Jun,8097940.552083333
WHEAT,Jul,15316238.802083334
WHEAT,Aug,4970731.302083333
WHEAT,Sep,6617350.552083333
WHEAT,Oct,6344122.145833334
WHEAT,Nov,18182745.010416664
WHEAT,Dec,6182631.84375
