commodity,month,price
Animal_Products,Jan,216.1
Animal_Products,Feb,218.0
Animal_Products,Mar,217.3
Animal_Products,Apr,221.2
Animal_Products,May,221.8
Animal_Products,Jun,220.4
Animal_Products,Jul,219.9
Animal_Products,Aug,217.1
Animal_Products,Sep,215.1
Animal_Products,Oct,215.0
Animal_Products,Nov,211.8
Animal_Products,Dec,203.5
Corn,Jan,287.9
Corn,Feb,300.4
Corn,Mar,340.2
Corn,Apr,353.7
Corn,May,370.5
Corn,Jun,349.7
Corn,Jul,345.3
Corn,Aug,327.4
Corn,Sep,327.1
Corn,Oct,331.8
Corn,Nov,353.0
Corn,Dec,318.6
Fish,Jan,132.7
Fish,Feb,139.5
Fish,Mar,140.6
Fish,Apr,141.2
Fish,May,143.5
Fish,Jun,126.2
Fish,Jul,124.4
Fish,Aug,124.3
Fish,Sep,126.5
Fish,Oct,126.4
Fish,Nov,125.3
Fish,Dec,125.2
Fruit,Jan,150.4
Fruit,Feb,154.8
Fruit,Mar,149.4
Fruit,Apr,147.6
Fruit,May,150.9
Fruit,Jun,154.1
Fruit,Jul,147.2
Fruit,Aug,140.5
Fruit,Sep,132.0
Fruit,Oct,139.4
Fruit,Nov,154.0
Fruit,Dec,161.6
Nuts,Jan,63.3
Nuts,Feb,58.2
Nuts,Mar,58.3
Nuts,Apr,60.3
Nuts,May,59.4
Nuts,Jun,58.4
Nuts,Jul,57.9
Nuts,Aug,57.2
Nuts,Sep,55.8
Nuts,Oct,54.0
Nuts,Nov,53.3
Nuts,Dec,52.7
Soybeans,Jan,277.6
Soybeans,Feb,305.9
Soybeans,Mar,329.2
Soybeans,Apr,322.6
Soybeans,May,330.7
Soybeans,Jun,339.6
Soybeans,Jul,315.6
Soybeans,Aug,319.0
Soybeans,Sep,309.2
Soybeans,Oct,288.9
Soybeans,Nov,306.7
Soybeans,Dec,296.6
Vegetables,Jan,82.1
Vegetables,Feb,82.1
Vegetables,Mar,83.2
Vegetables,Apr,84.6
Vegetables,May,85.4
Vegetables,Jun,87.4
Vegetables,Jul,92.5
Vegetables,Aug,96.1
Vegetables,Sep,96.4
Vegetables,Oct,100.7
Vegetables,Nov,119.0
Vegetables,Dec,124.8
Wheat,Jan,322.1
Wheat,Feb,316.3
Wheat,Mar,394.5
Wheat,Apr,375.3
Wheat,May,390.4
Wheat,Jun,392.5
Wheat,Jul,311.3
Wheat,Aug,301.1
Wheat,Sep,307.0
Wheat,Oct,337.4
Wheat,Nov,329.5
Wheat,Dec,304.8
